,StockType,Title,Exterior,Interior,Transmission,Drivetrain,Price,Mileage
1884,USED,2004 Chrysler Crossfire,Black,Red,Automatic,RWD,6791,60038
1885,USED,2014 Nissan GT-R Track Edition,Black,Black,Automanual,AWD,72500,37865
1886,NEW,2020 BMW M8 Competition,Black,White,Automatic,AWD,139695,0
1887,USED,2007 Ford Shelby GT500 Base,White,Gray,Manual,RWD,25495,32746
1888,USED,2016 Ford Shelby GT350 Base,Blue,Black,Manual,RWD,48999,8424
1889,USED,2008 BMW 135 i,Other,Black,Automatic,RWD,7995,$1000
1890,USED,2013 Hyundai Elantra GS PZEV,Gray,Black,Automatic,FWD,8500,58018
1891,USED,2016 smart ForTwo Passion,Silver,Black,Manual,RWD,7994,24524
1892,USED,2011 Lotus Evora 2+2,Silver,Other,Manual,RWD,52000,12595
1893,USED,1995 Pontiac Grand Am SE,White,Other,Automatic,FWD,2495,102151
1894,USED,2017 BMW M2 Base,Black,Black,Manual,RWD,40998,16077
1895,USED,2018 Audi A5 2.0T Premium Plus,Black,Black,Automatic,AWD,29999,10377
1896,USED,2006 Scion tC,Silver,Gray,Automatic,FWD,4441,117803
1897,PORSCHE CERTIFIED,2017 Porsche 718 Cayman Base,Gray,Gray,Manual,RWD,42995,15313
1898,USED,2014 BMW M6 Base,White,Orange,Automatic,RWD,46888,27714
1899,USED,2007 INFINITI G35 Base,Black,Beige,Automatic,RWD,5999,113345
1900,USED,2013 Audi TT 2.0T Premium Plus quattro,Red,Gray,Automatic,AWD,15900,39718
1901,USED,1979 Porsche 924,White,Brown,Manual,RWD,7500,47000
1902,NEW,2020 Mercedes-Benz AMG GT R,Black,Black,Automatic,RWD,202990,0
1903,NEW,2019 INFINITI Q60 3.0t Red Sport 400,White,Red,Automatic,AWD,50904,$1616
1904,FERRARI CERTIFIED,2018 Ferrari 488 GTB Base,Red,Other,Automatic,RWD,259900,1033
1905,USED,2016 Ford Shelby GT350 Base,White,Black,Manual,RWD,42900,4658
1906,NEW,2020 Jaguar F-TYPE SVR,Other,Black,Automatic,AWD,132425,0
1907,USED,2016 Cadillac ELR Base,Black,Black,Automatic,FWD,28100,35647
1908,USED,2005 Mazda RX-8,Red,Black,Automanual,RWD,3000,67300
1909,USED,2015 Porsche Cayman Base,Silver,Black,Manual,RWD,39997,48357
1910,USED,2013 Audi RS 5 4.2,Gray,Black,Automatic,AWD,26497,64459
1911,USED,2016 Nissan 370Z Sport Tech,Red,Black,Automatic,RWD,23000,20743
1912,USED,2017 Ford Shelby GT350 Base,Black,Black,Manual,RWD,42997,5664
1913,USED,2015 Scion tC,Red,Other,Automatic,FWD,11800,70902
1914,USED,2013 Audi TTS 2.0T Prestige quattro,Blue,Other,Automatic,AWD,22936,65780
1915,USED,2015 Maserati GranTurismo MC,White,Black,Automatic,RWD,46995,37801
1916,USED,2012 BMW 135 i,Gray,Black,Manual,RWD,14783,51567
1917,USED,2011 Cadillac CTS-V Base,Black,Black,Automatic,RWD,26995,78357
1918,NEW,2020 Mercedes-Benz AMG CLS 53 Base 4MATIC,Other,Black,Automatic,AWD,105995,0
1919,LEXUS CERTIFIED,2019 Lexus RC F,Gray,Blue,Automatic,RWD,71888,173
1920,USED,2016 Cadillac ATS 2.0L Turbo,Black,Black,Automatic,AWD,19888,27349
1921,USED,2008 Maserati GranTurismo,Other,Brown,Automatic,RWD,26495,39370
1922,USED,2019 INFINITI Q60 3.0t LUXE,Black,Gray,Automatic,RWD,29777,17360
1923,NEW,2019 Porsche 911 Turbo,Gray,Other,Automatic,AWD,158900,0
1924,USED,2018 Mercedes-Benz E 400 4MATIC,Gray,Black,Automatic,AWD,35995,38422
1925,USED,2013 Hyundai Elantra GS,Black,Gray,Manual,FWD,6965,56920
1926,NEW,2020 Mercedes-Benz AMG GT 63 S 4-Door,Gray,Black,Automatic,AWD,181425,0
1927,NEW,2019 INFINITI Q60 3.0t LUXE,Black,Gray,Automatic,AWD,51925,0
1928,USED,2016 Scion tC Base,Gray,Other,Automatic,FWD,10991,76780
1929,PORSCHE CERTIFIED,2018 Porsche 718 Cayman Base,Gray,Black,Manual,RWD,47995,6472
1930,USED,2006 Dodge Viper SRT-10,Black,Black,Manual,RWD,49327,32401
1931,NEW,2019 Rolls-Royce Wraith Base,Black,Beige,Automatic,RWD,438880,0
1932,USED,2011 Cadillac CTS-V Base,White,Black,Automatic,RWD,35000,$990
1933,USED,2009 Dodge Challenger R/T,Black,Gray,Automatic,RWD,13002,114006
1934,USED,2016 BMW M4 GTS,Black,Black,Automatic,RWD,74994,2603
1935,NEW,2020 BMW 230 i xDrive,White,Black,Automatic,AWD,41765,0
1936,USED,2012 Scion tC,White,Black,Automatic,FWD,8494,$800
1937,USED,2011 Nissan 370Z Base,Gray,Black,Manual,RWD,14950,60800
1938,USED,2016 Nissan 370Z Sport,Black,Black,Automatic,RWD,20974,18583
1939,USED,2013 BMW 128 i,Black,Other,Automatic,RWD,14777,66437
1940,USED,2017 Audi R8 5.2 quattro Plus,White,Red,Automatic,AWD,115950,$1000
1941,USED,2006 Scion tC,Blue,Gray,Automatic,FWD,4499,143661
